,PREMIUM_CHARGED,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,SUM_INSURED,LOADINGS,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,POLICY_HISTORY_AGE,POLICY_TERM,COMPANY_LOADINGS,type_of_cover,transaction_type,client_gender,open_restricted_flag,pa_driver_included,vehicle_condition,flag_vehicle_condition,flag_vehicle_type_on_seating_capacity
8623,1393.5993640000002,0.26,0.37,70970.985,0.12,0,2,12,0.38,2,5,0,0,0,0,1,1
11387,6264.635938,0.19,0.4,68091.25,0.07,0,0,6,0.35,0,5,0,0,0,1,1,1
29641,2398.3591920000003,0.28,0.28,131471.0,0.08,0,0,12,0.3,2,5,1,0,0,2,1,1
52996,2969.927738,0.34,0.25,51191.415,0.09,0,1,6,0.38,1,5,1,0,0,1,1,0
41121,9686.002914,0.24,0.28,79090.35,0.1,0,1,12,0.35,0,5,1,0,0,0,1,2
48640,8675.36965,0.21,0.3,80609.4,0.1,0,1,12,0.35,0,5,0,0,1,1,0,1
1230,6552.740693,0.05,0.39,106520.65,0.2,0,1,12,0.35,1,5,0,0,0,2,1,0
53144,3189.429642,0.24,0.25,173773.0,0.1,0,0,12,0.3,2,5,1,0,0,1,1,0
16468,11858.36196,0.27,0.17,101487.55,0.09,0,1,12,0.35,0,5,1,0,0,1,1,0
24698,14266.58001,0.21,0.22,105069.24,0.08,0,2,12,0.38,0,5,0,0,0,1,1,2
11353,11922.220870000001,0.28,0.17,111409.0,0.09,0,0,12,0.3,0,5,0,0,0,1,1,0
34505,6711.983994,0.28,0.24,61149.0,0.11,0,0,12,0.3,0,5,0,0,0,1,1,0
47459,2485.366293,0.24,0.33,111842.55,0.11,0,2,12,0.38,2,5,1,0,0,1,1,0
13906,11373.15136,0.35,0.23,99718.65,0.12,0,1,12,0.35,0,5,0,1,0,1,1,0
20886,1054.177225,0.27,0.51,75033.85,0.11,0,1,12,0.35,2,5,1,0,0,1,0,0
31822,11598.83131,0.24,0.22,94149.0,0.1,0,0,12,0.3,0,5,1,0,0,2,1,0
33348,10160.875259999999,0.3,0.23,81079.65,0.09,0,2,12,0.38,0,5,0,0,0,1,1,0
11090,11910.615679999999,0.21,0.28,100797.66,0.12,0,2,12,0.38,0,5,0,0,1,2,1,0
17618,14477.674430000001,0.28,0.3,136977.0,0.11,0,0,12,0.3,0,5,0,0,1,1,1,0
7887,10256.75832,0.27,0.25,93518.19,0.08,0,2,12,0.38,0,5,1,1,0,1,1,2
53060,1322.0924949999999,0.25,0.26,74512.0,0.09,0,0,12,0.3,2,5,1,0,0,1,0,2
58922,1182.222864,0.35,0.4,82098.81,0.08,0,2,12,0.38,2,5,1,0,0,2,0,1
18416,1795.70257,0.23,0.29,86554.215,0.11,0,2,12,0.38,2,5,0,0,0,1,1,2
25439,14491.12139,0.27,0.27,141008.5,0.09,0,1,12,0.35,0,5,1,0,0,1,1,0
8248,8601.760892,0.29,0.28,84022.0,0.06,0,0,12,0.3,0,5,0,0,1,1,0,2
16276,1955.615391,0.13,0.26,95703.0,0.08,0,0,12,0.3,2,5,1,0,0,1,1,0
9160,7993.765816,0.26,0.42,93159.85,0.13,0,1,12,0.35,0,5,1,0,0,1,1,0
49711,1915.068745,0.16,0.31,81909.95,0.14,0,1,12,0.35,2,5,1,0,1,1,1,0
45527,5115.041975,0.29,0.3,80480.295,0.11,0,2,12,0.38,1,5,1,0,0,1,1,1
43217,1368.906761,0.16,0.36,74302.0,0.09,0,0,12,0.3,2,5,0,0,1,2,1,1
47205,1636.190033,0.15,0.38,95062.0,0.12,0,0,12,0.3,2,5,1,0,0,1,1,0
31837,721.2572616,0.32,0.26,44198.0,0.11,0,0,12,0.3,2,5,1,0,0,1,1,0
45388,1218.06799,0.31,0.29,66114.585,0.1,0,1,6,0.38,2,5,0,0,0,1,1,0
23127,9401.750475,0.37,0.23,96749.235,0.08,0,2,12,0.38,0,5,1,0,0,1,1,0
18976,10994.770559999999,0.34,0.28,100434.285,0.08,0,2,12,0.38,0,5,1,0,1,1,1,0
3124,10193.88097,0.05,0.33,73595.55,0.23,0,1,12,0.35,0,5,0,1,0,0,1,0
406,13642.2186,0.05,0.43,118664.5,0.2,0,1,12,0.35,0,5,0,0,0,1,1,1
6967,6546.972194,0.25,0.39,96645.78,0.12,0,2,12,0.38,1,5,0,0,0,1,1,0
36009,13979.229830000002,0.26,0.23,106708.75,0.13,0,1,12,0.35,0,5,1,0,0,0,1,1
1732,10520.1566,0.28,0.38,119726.0,0.07,0,0,12,0.3,0,0,1,0,0,1,1,0
2578,3240.253387,0.2,0.27,109332.27,0.25,0,2,12,0.38,2,5,1,0,0,1,1,1
36949,1898.319086,0.17,0.28,40800.0,0.09,0,0,12,0.3,1,5,1,1,1,1,1,0
24737,1901.1003739999999,0.31,0.26,92528.1,0.07,0,2,12,0.38,2,5,0,0,0,1,1,0
29152,974.1310907,0.3,0.29,43350.21,0.15,0,2,12,0.38,2,5,1,0,0,1,1,0
6619,12187.50303,0.25,0.21,92491.335,0.09,0,2,12,0.38,0,5,1,0,0,1,1,1
22563,8829.775913,0.21,0.34,81487.0,0.1,0,0,12,0.3,0,5,1,0,0,1,1,2
40928,11414.43865,0.32,0.21,117578.0,0.1,0,0,12,0.3,0,5,0,0,0,1,1,2
33507,2106.001308,0.31,0.22,100532.8,0.1,0,1,12,0.35,2,5,0,0,0,1,1,0
27460,1848.536448,0.22,0.38,112936.0,0.1,0,1,12,0.35,2,5,0,0,0,1,1,1
44865,587.2348327999999,0.19,0.25,30455.0,0.08,0,0,12,0.3,2,5,1,0,1,1,1,0
46965,1338.842154,0.17,0.35,61100.865,0.08,0,2,12,0.38,2,5,0,1,1,2,1,0
43549,11531.3798,0.22,0.36,120892.25,0.08,0,1,12,0.35,0,5,0,1,0,1,1,1
48746,9563.464758,0.35,0.28,88703.685,0.08,0,2,12,0.38,0,5,1,0,0,1,1,0
16989,11707.400679999999,0.17,0.24,88501.0,0.11,0,0,12,0.3,0,5,0,0,0,1,1,1
3779,13961.11241,0.19,0.3,122750.0,0.11,0,0,12,0.3,0,5,1,0,0,1,1,0
4236,2540.168086,0.2,0.25,74326.86,0.22,0,2,12,0.38,2,5,1,0,0,1,1,0
5170,2739.3006149999997,0.05,0.31,100085.35,0.18,0,1,12,0.35,2,5,1,0,1,1,1,2
16829,4016.076483,0.32,0.23,78823.4,0.1,0,1,12,0.35,1,5,0,0,0,1,1,1
11053,18236.391369999998,0.23,0.28,156500.15,0.08,0,1,12,0.35,0,5,0,0,0,1,1,0
11713,8880.504384,0.28,0.23,77784.0,0.09,0,0,12,0.3,0,5,0,1,0,1,1,0
15179,9055.531082,0.16,0.34,82430.55,0.12,0,1,12,0.35,0,5,0,0,1,1,1,1
42900,9513.836925,0.31,0.28,105015.0,0.11,0,0,12,0.3,0,5,1,0,0,2,1,0
37136,1064.477742,0.2,0.38,61388.0,0.12,0,0,12,0.3,2,5,1,0,0,2,1,0
17455,3314.099452,0.21,0.25,128168.775,0.11,0,2,12,0.38,2,5,1,0,0,2,1,0
8713,3584.3920200000002,0.28,0.23,81545.0,0.11,0,0,12,0.3,1,5,1,0,1,1,1,2
130,15217.423519999998,0.05,0.37,119759.85,0.2,0,1,12,0.35,0,5,0,0,0,1,1,2
30950,815.0258886,0.27,0.35,39716.46,0.1,0,1,6,0.38,2,5,1,0,0,1,1,0
33012,9648.781198,0.26,0.36,101905.55,0.13,0,1,12,0.35,0,5,1,0,0,1,1,2
38980,1153.5085869999998,0.05,0.35,52133.625,0.11,0,2,12,0.38,2,5,1,0,0,1,1,0
8785,9205.238743,0.25,0.36,106121.0,0.1,0,0,12,0.3,0,5,1,0,0,2,1,0
54007,11533.47413,0.2,0.26,93745.0,0.1,0,0,12,0.3,0,5,1,0,0,1,1,0
41038,4949.1001479999995,0.17,0.29,38112.48,0.08,0,2,12,0.38,0,5,1,0,1,1,0,2
40556,12516.43505,0.05,0.33,83052.99,0.11,0,2,12,0.38,0,5,1,0,1,1,1,0
16058,7627.239684,0.21,0.37,69102.05,0.09,0,1,12,0.35,0,5,1,0,0,1,1,0
18826,2207.995312,0.24,0.23,96063.05,0.11,0,1,12,0.35,2,5,0,0,1,1,0,0
15378,11916.03295,0.27,0.33,110873.55,0.08,0,1,12,0.35,0,5,0,0,1,1,0,2
35767,14498.348619999999,0.05,0.45,119344.32,0.09,0,2,12,0.38,0,5,0,0,0,1,1,0
14724,8381.604507,0.24,0.37,74606.445,0.1,0,2,12,0.38,0,5,0,0,0,2,1,1
15594,1099.25579,0.23,0.36,67821.0,0.13,0,0,12,0.3,2,5,0,0,0,1,1,2
40694,843.2196998,0.3,0.28,53096.0,0.07,0,0,12,0.3,2,5,0,0,1,1,1,0
12106,10911.2029,0.23,0.36,97163.15,0.12,0,1,12,0.35,0,5,1,0,0,1,1,0
13696,11111.66801,0.16,0.34,109909.0,0.11,0,0,12,0.3,0,5,0,0,0,1,1,0
40643,8819.583373000001,0.05,0.3,58108.365,0.07,0,1,6,0.38,0,5,0,0,0,1,1,0
49307,1710.388704,0.19,0.3,86286.0,0.12,0,0,12,0.3,2,5,0,0,0,1,1,0
52158,10622.93536,0.29,0.32,97425.35,0.11,0,1,12,0.35,0,5,1,0,0,1,0,0
27831,1983.380604,0.26,0.39,125682.0,0.07,0,0,12,0.3,2,5,0,1,0,2,1,2
37495,8180.455411,0.05,0.28,53776.935,0.09,0,2,12,0.38,0,5,1,1,0,1,0,1
34145,1531.69126,0.27,0.32,83638.0,0.09,0,1,12,0.35,2,5,1,1,0,2,1,0
50431,8072.610631999999,0.17,0.31,67215.0,0.11,0,0,12,0.3,0,5,1,0,0,1,1,1
17952,10016.989,0.22,0.33,93943.98,0.1,0,2,12,0.38,0,5,0,0,0,1,1,0
50837,8506.479218,0.23,0.25,78649.0,0.14,0,0,12,0.3,0,5,0,0,0,1,1,0
34729,6387.3006829999995,0.28,0.22,56775.42,0.08,0,2,12,0.38,0,5,1,1,0,2,1,0
10977,2617.920004,0.27,0.32,147933.0,0.1,0,0,12,0.3,2,5,0,1,1,1,1,1
4530,5594.169559,0.36,0.25,57118.0,0.08,0,0,12,0.3,0,5,0,0,0,1,1,1
40079,14534.482780000002,0.27,0.24,133399.95,0.11,0,1,12,0.35,0,5,1,0,0,0,1,1
48804,1444.880369,0.22,0.2,60035.25,0.09,0,1,12,0.35,2,5,1,1,0,2,0,0
6041,1751.3996120000002,0.21,0.39,100647.0,0.12,0,0,12,0.3,2,5,1,0,0,2,0,0
56595,927.7384143999999,0.26,0.35,57509.2,0.09,0,1,12,0.35,2,5,1,0,0,1,1,0
47655,11157.569109999999,0.27,0.36,119056.0,0.11,0,0,12,0.3,0,5,1,0,1,1,0,2
52393,9863.674142,0.27,0.19,70453.71,0.11,0,2,12,0.38,0,5,0,0,0,1,1,1
9419,14180.43736,0.23,0.29,108572.175,0.12,0,1,6,0.38,0,5,0,0,0,1,1,0
51309,4182.953820000001,0.17,0.33,82310.85,0.08,0,1,12,0.35,1,5,1,0,0,1,1,2
7444,6937.086409999999,0.33,0.29,131476.2,0.1,1,1,12,0.35,2,3,1,0,0,2,1,0
12161,2659.7590969999997,0.26,0.23,117097.38,0.06,0,2,12,0.38,2,5,0,1,0,1,1,0
40113,18348.076090000002,0.05,0.25,111783.555,0.08,0,2,12,0.38,0,5,1,1,0,1,1,0
36773,13439.264459999999,0.29,0.25,120347.0,0.11,0,0,12,0.3,0,5,0,0,1,1,0,0
56757,8651.089845,0.21,0.36,108284.895,0.14,0,2,12,0.38,1,5,0,0,0,1,1,0
29441,8677.669456,0.22,0.29,75398.0,0.1,0,0,12,0.3,0,5,1,0,0,2,0,0
4592,7393.571897,0.2,0.37,65363.04,0.21,0,2,12,0.38,0,5,1,0,0,1,1,2
23454,2188.841284,0.25,0.33,109912.15,0.12,0,1,12,0.35,2,5,0,0,0,1,1,0
33115,8269.207554999999,0.24,0.31,67822.02,0.09,0,2,12,0.38,0,5,0,0,0,0,1,0
22470,4386.313385,0.24,0.26,43554.0,0.09,0,0,12,0.3,0,5,0,0,0,1,1,2
10583,17862.539269999997,0.3,0.23,141240.015,0.1,0,2,12,0.38,0,5,1,0,0,1,1,0
10521,1452.46296,0.23,0.29,79118.0,0.06,0,0,12,0.3,2,5,0,0,0,0,1,1
28481,1491.77197,0.24,0.37,96073.0,0.11,0,0,12,0.3,2,5,1,0,1,1,1,1
31180,1866.683921,0.28,0.22,86179.25,0.09,0,1,12,0.35,2,5,0,0,0,1,1,0
1763,2830.8590280000003,0.05,0.28,96663.45,0.21,0,1,12,0.35,2,5,1,0,0,1,1,1
10428,9760.554398,0.21,0.33,93899.9,0.11,0,1,12,0.35,0,5,1,0,0,1,1,0
17147,11599.68615,0.31,0.39,142525.0,0.07,0,0,12,0.3,0,5,1,1,0,1,1,2
19815,8864.544067,0.31,0.38,93434.4,0.09,0,1,12,0.35,0,5,0,0,0,1,1,0
16874,6831.939737000001,0.39,0.32,82988.01,0.07,0,2,12,0.38,0,5,1,0,0,1,1,1
16509,2653.38841,0.22,0.34,145517.0,0.09,0,0,12,0.3,2,5,1,0,0,1,0,2
33308,1335.980542,0.23,0.38,30971.0,0.1,0,0,12,0.3,1,5,1,0,0,0,1,1
18653,1710.799837,0.25,0.32,77564.745,0.15,0,2,12,0.38,2,5,1,0,0,1,1,0
31388,3761.896641,0.26,0.35,34533.45,0.11,0,2,12,0.38,0,5,1,0,0,2,1,2
14666,14355.34109,0.2,0.3,137991.3,0.05,0,1,12,0.35,0,5,1,0,1,2,1,1
4822,14203.020030000001,0.25,0.24,143087.0,0.06,0,0,12,0.3,0,5,0,0,0,2,1,1
48321,2931.929587,0.21,0.27,132927.8,0.13,0,1,12,0.35,2,5,1,0,0,2,1,0
7781,16610.34359,0.26,0.46,117098.9,0.09,0,0,6,0.35,1,3,1,0,0,1,0,0
18269,1788.5052449999998,0.25,0.22,82041.525,0.09,0,2,12,0.38,2,5,0,1,0,2,1,2
20721,1226.706192,0.33,0.29,69899.1,0.09,0,1,12,0.35,2,5,1,0,0,1,1,1
46944,5173.676839,0.24,0.32,64957.77,0.13,0,2,12,0.38,1,5,0,0,1,2,1,2
28927,4960.797152,0.25,0.41,47349.045,0.11,0,2,12,0.38,0,5,1,0,0,2,1,0
45652,5762.223838,0.35,0.31,57244.815,0.1,0,2,12,0.38,0,5,1,0,1,0,1,0
7878,1308.2004650000001,0.16,0.3,53782.065,0.1,0,2,12,0.38,2,5,1,0,0,1,1,0
47588,8763.27887,0.2,0.35,83354.805,0.09,0,2,12,0.38,0,5,1,0,1,1,1,1
8600,14352.4304,0.25,0.35,142964.0,0.09,0,0,12,0.3,0,5,1,0,0,1,1,0
49939,5310.779251,0.22,0.17,69146.415,0.11,0,2,12,0.38,1,5,1,0,0,1,1,2
42825,1700.832759,0.25,0.23,80535.0,0.14,0,0,12,0.3,2,5,1,0,0,1,1,1
44309,10405.27955,0.22,0.22,96392.0,0.08,0,0,12,0.3,0,5,0,0,0,1,1,0
58650,3289.191312,0.26,0.26,136406.7,0.12,0,2,12,0.38,2,5,0,0,1,1,1,1
56418,1324.03593,0.32,0.34,77919.95,0.07,0,1,12,0.35,2,5,1,0,1,2,0,0
11718,10859.97229,0.23,0.26,93413.025,0.1,0,2,12,0.38,0,5,0,0,0,2,1,0
41089,13006.15132,0.21,0.29,115753.32,0.08,0,2,12,0.38,0,5,1,0,1,1,1,2
44993,2122.671753,0.22,0.33,93071.88,0.11,0,2,12,0.38,2,5,1,0,0,2,1,1
13627,1332.747132,0.29,0.32,72741.69,0.11,0,2,12,0.38,2,5,1,0,0,1,1,0
51073,11702.13011,0.16,0.32,97744.455,0.13,0,2,12,0.38,0,5,0,0,0,1,1,0
26055,2092.278702,0.32,0.35,118747.53,0.06,0,2,12,0.38,2,5,1,1,1,1,1,0
43478,9185.102949,0.2,0.35,81299.0,0.15,0,0,12,0.3,0,5,1,0,1,2,1,0
11816,1520.040047,0.3,0.39,93151.3,0.08,0,1,12,0.35,2,5,0,0,0,1,1,1
16638,1914.924211,0.24,0.22,100320.0,0.1,0,0,12,0.3,2,5,0,1,0,0,0,0
28659,7511.823012000001,0.15,0.19,50505.8,0.11,0,1,12,0.35,0,5,1,0,0,2,1,0
41506,8333.356281,0.31,0.33,119472.57,0.09,0,2,12,0.38,1,5,0,0,0,2,1,2
44731,8595.06377,0.16,0.31,83579.0,0.08,0,0,12,0.3,0,5,1,0,0,1,1,0
3156,12150.35123,0.13,0.34,119262.0,0.08,0,0,12,0.3,0,5,0,0,0,2,1,0
2774,13887.71535,0.2,0.4,113982.615,0.19,0,2,12,0.38,0,5,1,0,0,1,1,1
40212,10132.88475,0.26,0.34,97181.0,0.13,0,0,12,0.3,0,5,0,0,1,0,1,0
15296,2225.111809,0.32,0.27,139208.0,0.1,0,0,12,0.3,2,5,0,0,0,1,1,0
13948,7096.070225,0.34,0.45,111192.75,0.09,0,2,12,0.38,1,5,0,0,0,1,1,0
51137,2454.187761,0.2,0.32,127368.0,0.09,0,0,12,0.3,2,5,1,0,0,0,0,1
31609,6919.096089,0.28,0.43,94149.0,0.09,0,0,12,0.3,0,5,1,0,0,2,0,2
23113,3026.726912,0.2,0.21,132626.0,0.12,0,0,12,0.3,2,5,0,1,0,2,1,0
22119,3033.2796,0.22,0.35,74785.0,0.12,0,0,12,0.3,1,5,0,0,0,1,1,0
19871,2810.5554399999996,0.22,0.28,56412.0,0.08,0,0,12,0.3,1,5,0,0,0,1,1,0
46670,5257.841806,0.2,0.29,72764.775,0.12,0,2,12,0.38,1,5,0,0,0,0,0,0
12510,10679.31762,0.3,0.32,114953.0,0.08,0,0,12,0.3,0,5,1,0,0,1,1,0
58565,6473.510018999999,0.27,0.27,56233.35,0.11,0,1,12,0.35,0,5,1,0,1,1,1,0
35256,1718.088824,0.29,0.18,88804.1,0.08,0,1,12,0.35,2,5,0,0,0,1,1,0
27562,2284.714038,0.27,0.3,114869.25,0.1,0,1,12,0.35,2,5,0,0,0,1,1,0
19745,10320.19024,0.31,0.3,89437.275,0.12,0,2,12,0.38,0,5,1,0,0,1,1,0
35281,1773.517889,0.31,0.26,79590.24,0.11,0,1,6,0.38,2,5,1,0,1,1,1,0
38649,10423.975540000001,0.26,0.37,106380.05,0.08,0,1,12,0.35,0,5,1,1,0,1,0,0
56323,9320.092302,0.27,0.26,84560.355,0.1,0,2,12,0.38,0,5,1,0,0,1,1,0
35192,12076.05338,0.3,0.26,125579.0,0.13,0,0,12,0.3,0,5,1,0,0,1,1,0
45094,2349.716588,0.22,0.33,134061.15,0.09,0,1,12,0.35,2,5,1,1,0,1,1,0
43894,1841.341266,0.21,0.34,94768.2,0.09,0,1,6,0.38,2,5,1,0,1,0,1,0
52731,9213.223062000001,0.29,0.26,127199.205,0.1,0,2,12,0.38,1,5,0,0,0,1,1,2
55904,3610.013245,0.2,0.36,76447.45,0.09,0,1,12,0.35,1,5,0,0,0,1,1,0
38532,6981.517594,0.22,0.36,71861.8,0.1,0,1,12,0.35,0,5,0,0,0,1,0,1
43200,6721.001563,0.26,0.46,86423.4,0.1,0,1,12,0.35,0,5,0,0,1,1,1,2
37214,5301.2971,0.26,0.3,130253.0,0.1,0,0,12,0.3,1,5,0,0,0,1,1,0
18755,755.7578269999999,0.3,0.37,45987.885,0.09,0,2,12,0.38,2,5,1,1,1,1,1,0
25269,1266.844483,0.26,0.31,73977.45,0.09,0,1,12,0.35,2,5,1,0,0,1,1,0
35355,2232.824462,0.28,0.28,110657.9,0.1,0,1,12,0.35,2,5,1,0,0,1,1,0
49912,1169.279556,0.24,0.42,62978.445,0.12,0,2,12,0.38,2,5,1,0,0,0,1,0
57235,10810.865090000001,0.24,0.34,102542.05,0.08,0,1,12,0.35,0,5,1,0,0,2,0,2
8634,13442.21418,0.25,0.22,106543.45,0.06,0,1,12,0.35,0,5,1,0,0,2,1,0
2100,10606.96766,0.05,0.31,66275.8,0.2,0,1,12,0.35,0,5,1,0,0,1,0,0
7670,12530.53463,0.32,0.22,114675.0,0.14,0,0,12,0.3,0,5,0,0,0,2,1,0
19599,15896.309290000001,0.16,0.35,140092.0,0.1,0,0,12,0.3,0,5,0,0,1,1,1,1
53633,5612.279861,0.29,0.38,78194.88,0.09,0,2,12,0.38,1,5,0,0,1,1,1,0
2433,9712.021192,0.05,0.24,54639.25,0.21,0,1,12,0.35,0,5,0,0,0,1,1,1
53262,9258.589149,0.28,0.3,81340.9,0.11,0,1,12,0.35,0,5,0,1,0,1,1,1
51343,10638.86362,0.25,0.29,85930.065,0.09,0,2,12,0.38,0,5,0,0,0,1,1,1
39915,7491.1478400000005,0.28,0.31,81950.0,0.12,0,0,12,0.3,0,5,0,0,0,1,1,2
35103,7490.732999,0.29,0.23,71707.9,0.08,0,1,12,0.35,0,5,0,0,0,2,1,0
24687,8862.860531,0.25,0.36,121101.345,0.1,0,2,12,0.38,1,5,0,0,0,1,1,0
55276,9409.402006,0.17,0.27,82807.7,0.06,0,1,12,0.35,0,5,1,0,0,1,1,1
15631,12613.87407,0.17,0.16,81351.54,0.09,0,2,12,0.38,0,5,1,0,0,2,0,0
36569,6196.488617,0.25,0.27,64384.0,0.07,0,0,12,0.3,0,5,1,0,1,1,1,0
50461,1956.05068,0.28,0.37,123349.0,0.12,0,0,12,0.3,2,5,1,1,0,1,0,2
35610,6772.727981999999,0.21,0.2,107204.65,0.13,0,1,12,0.35,1,5,0,0,0,1,1,0
43707,1330.4903980000001,0.29,0.39,87298.0,0.08,0,0,12,0.3,2,5,1,0,1,1,1,1
43264,12197.0724,0.21,0.26,104151.825,0.08,0,2,12,0.38,0,5,1,0,0,1,1,0
36255,1477.77514,0.27,0.29,31491.55,0.07,0,1,12,0.35,1,5,1,0,0,1,1,0
36431,2055.226902,0.25,0.3,103269.75,0.12,0,1,12,0.35,2,5,1,0,1,0,1,0
27732,20766.60539,0.12,0.17,138009.0,0.14,0,0,12,0.3,0,5,1,0,0,2,0,1
16320,12611.38903,0.28,0.29,104194.575,0.11,0,2,12,0.38,0,5,0,0,0,2,1,0
41229,13559.58856,0.26,0.24,101829.645,0.11,0,2,12,0.38,0,5,0,0,0,1,1,0
17340,8355.022842,0.34,0.26,84816.95,0.14,0,1,12,0.35,0,5,0,0,0,1,1,0
24054,9030.412654,0.31,0.27,88888.65,0.14,0,1,12,0.35,0,5,0,0,0,1,1,0
11783,9435.69377,0.33,0.23,91484.05,0.13,0,0,6,0.35,0,5,1,1,0,1,1,0
1973,1412.572608,0.27,0.37,83989.0,0.14,0,0,12,0.3,2,5,0,0,0,1,0,2
48400,1695.9357289999998,0.24,0.39,83076.075,0.12,0,2,12,0.38,2,5,1,0,1,1,1,0
6131,1627.184176,0.22,0.31,83727.0,0.12,0,0,12,0.3,2,5,1,0,0,1,0,0
6206,10446.70104,0.37,0.24,106931.0,0.08,0,0,12,0.3,0,5,0,0,0,1,1,0
43980,1360.345132,0.25,0.33,69551.4,0.1,0,1,12,0.35,2,5,1,0,0,1,1,1
42083,12464.365459999999,0.21,0.34,120258.0,0.1,0,0,12,0.3,0,5,0,1,0,1,1,1
43423,2336.6228539999997,0.21,0.31,100952.415,0.08,0,2,12,0.38,2,5,1,0,0,1,1,1
57892,5745.767669,0.26,0.29,56708.35,0.09,0,1,12,0.35,0,5,1,0,0,0,1,0
53670,1279.2676720000002,0.29,0.3,74114.0,0.11,0,0,12,0.3,2,5,0,0,0,2,1,1
7633,2080.020552,0.24,0.38,102069.9,0.1,0,2,12,0.38,2,5,1,0,0,1,1,0
45638,7388.98667,0.28,0.42,74730.42,0.11,0,2,12,0.38,0,5,1,0,0,0,1,0
1970,10307.723109999999,0.2,0.34,118050.0,0.1,0,0,12,0.3,0,0,0,0,0,1,1,0
43788,3353.452684,0.24,0.31,71297.5,0.06,0,1,12,0.35,1,5,1,0,0,1,1,2
27022,2746.519698,0.25,0.26,113395.23,0.11,0,2,12,0.38,2,5,1,0,0,1,1,0
59035,10055.73602,0.28,0.24,91112.6,0.14,0,1,12,0.35,0,5,0,0,0,2,1,2
2927,1411.251599,0.29,0.34,93529.0,0.1,0,0,12,0.3,2,5,0,0,0,2,1,0
44368,5860.583917,0.23,0.3,82068.03,0.15,0,2,12,0.38,1,5,1,0,0,1,1,0
17000,7034.582764,0.22,0.35,68627.43,0.09,0,2,12,0.38,0,5,1,0,0,1,1,0
29239,13580.79226,0.18,0.28,98934.615,0.09,0,2,12,0.38,0,5,1,0,0,1,1,0
51890,1618.303738,0.22,0.21,64068.57,0.09,0,2,12,0.38,2,5,1,0,0,2,1,2
23657,2469.0039850000003,0.2,0.26,122521.0,0.08,0,0,12,0.3,2,5,1,0,0,1,1,2
43398,1651.6855859999998,0.3,0.2,79947.25,0.09,0,1,12,0.35,2,5,0,0,0,1,1,0
39160,6675.792934,0.25,0.37,66603.55,0.09,0,1,12,0.35,0,5,1,0,0,1,1,1
55225,6706.139153,0.17,0.36,66823.95,0.08,0,0,6,0.35,1,5,0,0,0,1,1,0
41368,28800.223830000003,0.22,0.15,114966.15,0.08,0,0,6,0.35,0,5,0,0,0,1,1,0
23334,12232.36288,0.22,0.26,103868.82,0.1,0,2,12,0.38,0,5,1,0,0,1,1,2
52447,2172.8479780000002,0.26,0.24,95124.735,0.08,0,2,12,0.38,2,5,1,0,0,1,0,0
40264,13916.146190000001,0.05,0.34,95459.895,0.09,0,2,12,0.38,0,5,1,0,1,1,1,1
8474,9084.183315,0.2,0.25,111308.175,0.1,0,2,12,0.38,1,5,0,0,0,1,1,0
49651,1394.23437,0.19,0.4,36183.0,0.11,0,0,12,0.3,1,5,1,0,0,1,0,0
32429,12352.44074,0.28,0.33,124343.0,0.09,0,0,12,0.3,0,5,0,0,0,1,0,2
24,6225.946155,0.24,0.38,138040.0,0.12,0,0,12,0.3,0,6,1,0,0,1,1,0
5739,2420.939092,0.34,0.38,167032.0,0.09,0,0,12,0.3,2,5,0,0,0,2,0,0
44197,1435.983235,0.23,0.33,64950.93,0.09,0,2,12,0.38,2,5,0,0,1,1,1,1
30787,9063.755395,0.29,0.33,89819.65,0.09,0,1,12,0.35,0,5,1,0,0,1,1,2
4569,5510.667993999999,0.26,0.16,100742.0,0.12,0,0,12,0.3,1,5,0,0,0,1,1,0
20196,12707.71841,0.25,0.31,121324.0,0.12,0,0,12,0.3,0,5,0,0,0,2,1,0
50114,11373.157079999999,0.15,0.3,89534.0,0.13,0,0,12,0.3,0,5,0,0,0,1,0,0
38014,10943.12979,0.05,0.35,74847.555,0.11,0,2,12,0.38,0,5,0,0,0,1,1,0
55935,3721.813786,0.22,0.31,29206.8,0.11,0,2,12,0.38,0,5,1,0,0,1,1,0
5557,3584.0573299999996,0.28,0.42,85858.15,0.13,0,1,12,0.35,1,5,0,0,0,1,1,0
29827,1752.441516,0.3,0.35,99696.42,0.13,0,2,12,0.38,2,5,1,0,0,1,1,2
12303,14954.0093,0.29,0.3,132038.6,0.12,0,1,12,0.35,0,5,1,0,0,1,1,0
40332,1715.863693,0.05,0.35,89067.915,0.11,0,2,12,0.38,2,5,0,0,0,1,1,0
20753,1523.473407,0.27,0.39,94145.0,0.13,0,0,12,0.3,2,5,1,0,0,1,1,1
54865,14833.72986,0.22,0.23,106226.91,0.09,0,2,12,0.38,0,5,0,0,0,2,1,0
46468,14645.29758,0.27,0.3,147265.2,0.1,0,1,12,0.35,0,5,0,0,0,1,1,1
32272,8203.363065000001,0.22,0.31,72518.25,0.08,0,1,12,0.35,0,5,1,0,0,1,0,0
38613,2352.1483350000003,0.27,0.26,22373.45,0.1,0,1,12,0.35,0,5,0,0,1,1,1,0
29199,15787.14626,0.25,0.18,133112.1,0.09,0,1,12,0.35,0,5,0,0,0,2,1,0
